### 01100	Metabolic pathways
sacce:4439	K11204
sacce:2973	K00844
sacce:401	K01057
sacce:3608	K01895
sacce:6177	K01638
sacce:2304	K01057
sacce:3922	K00844

### 01210	2-Oxocarboxylic acid metabolism
sacce:23	K17450
sacce:6053	K01705
sacce:4728	K01647
sacce:3141	K00030
sacce:1632	K01652
sacce:4309	K00618
sacce:5568	K00133
sacce:389	K01649
sacce:6352	K01647
sacce:698	K00031
sacce:5849	K00052
sacce:4425	K00031
sacce:3747	K01687
sacce:70	K00928
sacce:1051	K14455
sacce:6323	K12659
sacce:615	K00838
sacce:4353	K00826
sacce:5155	K01649
sacce:3311	K00826
sacce:719	K00814
sacce:2139	K01702
sacce:4580	K01647
sacce:4482	K01681
sacce:3640	K00620
sacce:2367	K05824
sacce:3376	K00031
sacce:1021	K00030
sacce:6248	K01653
sacce:1896	K14454
sacce:3940	K00814
sacce:3696	K00818
sacce:3022	K00053
sacce:3237	K01655
sacce:4846	K01655

### 01212	Fatty acid metabolism
sacce:1873	K00507
sacce:5132	K10246
sacce:6090	K10703
sacce:6536	K01897
sacce:2534	K01897
sacce:186	K09458
sacce:3489	K10245
sacce:6165	K00232
sacce:153	K11262
sacce:3372	K01897
sacce:5433	K00667
sacce:4836	K11262
sacce:5376	K00645
sacce:666	K10258
sacce:4860	K07513
sacce:1972	K07512
sacce:164	K00059
sacce:1150	K10251
sacce:1566	K01897
sacce:2950	K10245
sacce:1277	K00668
sacce:5248	K00626

### 01230	Biosynthesis of amino acids
sacce:1905	K01755
sacce:6323	K12659
sacce:4054	K01694
sacce:2844	K00549
sacce:3145	K00293
sacce:2668	K00948
sacce:2930	K13830
sacce:1582	K15634
sacce:5540	K01834
sacce:615	K00838
sacce:3311	K00826
sacce:719	K00814
sacce:1938	K00931
sacce:4353	K00826
sacce:5155	K01649
sacce:1107	K00615
sacce:1327	K01814
sacce:1929	K01620
sacce:4142	K01807
sacce:3039	K14152
sacce:3720	K01656
sacce:1157	K00600
sacce:6397	K00948
sacce:4636	K00286
sacce:5661	K00615
sacce:757	K15634
sacce:356	K01958
sacce:5044	K01626
sacce:2387	K01739
sacce:1024	K01693
sacce:4482	K01681
sacce:6253	K01624
sacce:4580	K01647
sacce:1890	K01079
sacce:4845	K01817
sacce:2139	K01702
sacce:6248	K01653
sacce:1896	K14454
sacce:1021	K00030
sacce:3376	K00031
sacce:2051	K01850
sacce:2367	K05824
sacce:4593	K01657
sacce:3640	K00620
sacce:1165	K00058
sacce:5184	K00264
sacce:4347	K01940
sacce:3473	K17069
sacce:1915	K00948
sacce:5291	K01760
sacce:470	K00616
sacce:3022	K00053
sacce:4569	K01783
sacce:3696	K00818
sacce:3046	K01689
sacce:2073	K00873
sacce:3940	K00814
sacce:6511	K00872
sacce:567	K00143
sacce:2542	K01760
sacce:1917	K00134
sacce:400	K00931
sacce:2068	K01834
sacce:2221	K00765
sacce:6028	K00616
sacce:3237	K01655
sacce:4846	K01655
sacce:4901	K00611
sacce:4533	K00850
sacce:2082	K01697
sacce:23	K17450
sacce:4399	K01689
sacce:5939	K01915
sacce:3574	K00290
sacce:3141	K00030
sacce:1346	K01689
sacce:4428	K00003
sacce:2732	K01834
sacce:5282	K00134
sacce:4728	K01647
sacce:165	K01626
sacce:1878	K00873
sacce:6053	K01705
sacce:1760	K01739
sacce:4731	K00817
sacce:727	K17989
sacce:1632	K01652
sacce:136	K00147
sacce:2405	K01476
sacce:3947	K04486
sacce:4042	K01958
sacce:6273	K01739
sacce:4309	K00618
sacce:2587	K01663
sacce:4501	K01758
sacce:2832	K00948
sacce:66	K00850
sacce:2697	K00927
sacce:389	K01649
sacce:5568	K00133
sacce:1094	K00789
sacce:3177	K01736
sacce:495	K00600
sacce:2870	K01689
sacce:4425	K00031
sacce:698	K00031
sacce:5849	K00052
sacce:2769	K01738
sacce:2947	K00134
sacce:6352	K01647
sacce:3389	K04518
sacce:5328	K01803
sacce:6535	K00766
sacce:1051	K14455
sacce:70	K00928
sacce:6610	K00789
sacce:2954	K01733
sacce:3554	K00058
sacce:724	K00948
sacce:263	K00831
sacce:3747	K01687
sacce:5959	K01754

### 01220	Degradation of aromatic compounds
sacce:1270	K13953
sacce:5430	K13954
sacce:4619	K13953
sacce:3839	K00002
sacce:1182	K00121
sacce:4958	K13953
sacce:1103	K00002
sacce:6201	K03186
sacce:4947	K13953

### 00010	Glycolysis / Gluconeogenesis
sacce:338	K01568
sacce:1103	K00002
sacce:1582	K15634
sacce:5540	K01834
sacce:4958	K13953
sacce:2763	K00129
sacce:2297	K00128
sacce:757	K15634
sacce:1430	K01610
sacce:1595	K01568
sacce:5064	K01835
sacce:6253	K01624
sacce:4947	K13953
sacce:1917	K00134
sacce:3240	K00129
sacce:2068	K01834
sacce:3046	K01689
sacce:2073	K00873
sacce:4619	K13953
sacce:1878	K00873
sacce:345	K00128
sacce:5430	K13954
sacce:1346	K01689
sacce:5282	K00134
sacce:2732	K01834
sacce:5082	K00162
sacce:3922	K00844
sacce:3608	K01895
sacce:661	K00128
sacce:5788	K01792
sacce:2973	K00844
sacce:1270	K13953
sacce:4533	K00850
sacce:4399	K01689
sacce:2239	K00844
sacce:1870	K00382
sacce:5053	K01835
sacce:2773	K00844
sacce:6688	K01810
sacce:2867	K00128
sacce:1409	K00161
sacce:3896	K01835
sacce:3571	K03841
sacce:2697	K00927
sacce:3404	K00627
sacce:66	K00850
sacce:4489	K00844
sacce:1182	K00121
sacce:2848	K01895
sacce:5328	K01803
sacce:3963	K01568
sacce:6203	K01568
sacce:2947	K00134
sacce:1228	K00382
sacce:2870	K01689
sacce:3839	K00002

### 00020	Citrate cycle (TCA cycle)
sacce:783	K00026
sacce:6095	K00237
sacce:5827	K00234
sacce:1596	K01900
sacce:356	K01958
sacce:3015	K00026
sacce:1430	K01610
sacce:5745	K00237
sacce:4580	K01647
sacce:4482	K01681
sacce:4477	K00164
sacce:3376	K00031
sacce:1021	K00030
sacce:2031	K00235
sacce:5522	K00236
sacce:5483	K00236
sacce:4728	K01647
sacce:5082	K00162
sacce:1919	K00026
sacce:3141	K00030
sacce:4042	K01958
sacce:1870	K00382
sacce:5065	K01679
sacce:751	K01899
sacce:1409	K00161
sacce:3404	K00627
sacce:1891	K00234
sacce:1228	K00382
sacce:6352	K01647
sacce:698	K00031
sacce:4425	K00031
sacce:1167	K00658

### 00030	Pentose phosphate pathway
sacce:724	K00948
sacce:770	K00036
sacce:66	K00850
sacce:2832	K00948
sacce:3896	K01835
sacce:3571	K03841
sacce:5053	K01835
sacce:6688	K01810
sacce:2304	K01057
sacce:4533	K00850
sacce:401	K01057
sacce:6258	K00033
sacce:4896	K00852
sacce:4569	K01783
sacce:1293	K01057
sacce:470	K00616
sacce:1915	K00948
sacce:6028	K00616
sacce:4346	K01057
sacce:6253	K01624
sacce:1428	K00033
sacce:5064	K01835
sacce:1107	K00615
sacce:3258	K00851
sacce:5661	K00615
sacce:6397	K00948
sacce:4142	K01807
sacce:2668	K00948

### 00040	Pentose and glucuronate interconversions
sacce:172	K05351
sacce:1103	K00002
sacce:4569	K01783
sacce:1289	K00854
sacce:5537	K01184
sacce:3195	K00008
sacce:3984	K00963
sacce:6619	K00008
sacce:2402	K17743
sacce:3839	K00002
sacce:6469	K00963

### 00051	Fructose and mannose metabolism
sacce:5328	K01803
sacce:3571	K03841
sacce:66	K00850
sacce:4489	K00844
sacce:2773	K00844
sacce:729	K19030
sacce:6077	K01809
sacce:3922	K00844
sacce:6619	K00008
sacce:2973	K00844
sacce:4533	K00850
sacce:2239	K00844
sacce:4797	K00863
sacce:1208	K00900
sacce:3195	K00008
sacce:3730	K19029
sacce:6253	K01624
sacce:458	K17497
sacce:1057	K00900
sacce:218	K00863
sacce:2726	K00045
sacce:1748	K00966

### 00052	Galactose metabolism
sacce:1183	K00849
sacce:2259	K00965
sacce:2126	K00849
sacce:5064	K01835
sacce:2331	K01182
sacce:5137	K01182
sacce:3922	K00844
sacce:2673	K01784
sacce:2973	K00844
sacce:4533	K00850
sacce:2239	K00844
sacce:2833	K01182
sacce:1295	K01193
sacce:5053	K01835
sacce:2773	K00844
sacce:1237	K01182
sacce:3984	K00963
sacce:66	K00850
sacce:6199	K01182
sacce:4489	K00844
sacce:3896	K01835
sacce:6469	K00963
sacce:2041	K01182

### 00053	Ascorbate and aldarate metabolism
sacce:2297	K00128
sacce:661	K00128
sacce:345	K00128
sacce:2867	K00128

### 00500	Starch and sucrose metabolism
sacce:237	K01194
sacce:5638	K01210
sacce:6044	K00693
sacce:5917	K00706
sacce:2331	K01182
sacce:1709	K01210
sacce:1963	K00688
sacce:3406	K00750
sacce:985	K16055
sacce:5137	K01182
sacce:4365	K16055
sacce:6168	K01210
sacce:2385	K01194
sacce:2676	K01194
sacce:5064	K01835
sacce:4265	K01196
sacce:6688	K01810
sacce:3671	K00697
sacce:1237	K01182
sacce:5053	K01835
sacce:2773	K00844
sacce:1525	K00706
sacce:3984	K00963
sacce:2239	K00844
sacce:2973	K00844
sacce:5519	K00750
sacce:3922	K00844
sacce:3762	K16055
sacce:4983	K00706
sacce:842	K01210
sacce:2833	K01182
sacce:1295	K01193
sacce:4816	K00693
sacce:2041	K01182
sacce:4489	K00844
sacce:772	K00700
sacce:6199	K01182
sacce:2361	K01178
sacce:6469	K00963
sacce:3896	K01835

### 00520	Amino sugar and nucleotide sugar metabolism
sacce:3724	K00972
sacce:317	K00621
sacce:4563	K01836
sacce:2319	K00326
sacce:5064	K01835
sacce:2259	K00965
sacce:298	K00326
sacce:2126	K00849
sacce:458	K17497
sacce:1748	K00966
sacce:1183	K00849
sacce:5594	K00326
sacce:4287	K00698
sacce:4489	K00844
sacce:4315	K00698
sacce:6469	K00963
sacce:3896	K01835
sacce:6688	K01810
sacce:6077	K01809
sacce:1003	K01452
sacce:1160	K01183
sacce:5053	K01835
sacce:2773	K00844
sacce:1779	K00698
sacce:3984	K00963
sacce:2239	K00844
sacce:2973	K00844
sacce:546	K00820
sacce:2673	K01784
sacce:3044	K01183
sacce:3922	K00844
sacce:482	K01452

### 00620	Pyruvate metabolism
sacce:2073	K00873
sacce:5248	K00626
sacce:3237	K01655
sacce:4846	K01655
sacce:5155	K01649
sacce:5191	K00101
sacce:1430	K01610
sacce:3015	K00026
sacce:356	K01958
sacce:1232	K01759
sacce:2297	K00128
sacce:783	K00026
sacce:2882	K01069
sacce:4836	K11262
sacce:1228	K00382
sacce:3607	K01067
sacce:5820	K00102
sacce:2848	K01895
sacce:153	K11262
sacce:5065	K01679
sacce:2342	K00102
sacce:3404	K00627
sacce:370	K01069
sacce:389	K01649
sacce:1409	K00161
sacce:2122	K00027
sacce:2867	K00128
sacce:4042	K01958
sacce:1870	K00382
sacce:5020	K01638
sacce:5058	K17741
sacce:661	K00128
sacce:3608	K01895
sacce:6098	K00102
sacce:6177	K01638
sacce:5082	K00162
sacce:1919	K00026
sacce:345	K00128
sacce:1878	K00873

### 00630	Glyoxylate and dicarboxylate metabolism
sacce:5323	K00605
sacce:1870	K00382
sacce:1284	K14263
sacce:4728	K01647
sacce:1919	K00026
sacce:5939	K01915
sacce:6177	K01638
sacce:5020	K01638
sacce:638	K03781
sacce:1228	K00382
sacce:6352	K01647
sacce:3935	K00281
sacce:495	K00600
sacce:3015	K00026
sacce:1157	K00600
sacce:305	K03781
sacce:807	K02437
sacce:456	K00122
sacce:4788	K00830
sacce:5445	K01637
sacce:783	K00026
sacce:827	K01637
sacce:5248	K00626
sacce:3336	K15918
sacce:4580	K01647
sacce:4482	K01681

### 00640	Propanoate metabolism
sacce:1596	K01900
sacce:5671	K01720
sacce:5248	K00626
sacce:3608	K01895
sacce:5058	K17741
sacce:493	K13524
sacce:1870	K00382
sacce:4290	K05605
sacce:153	K11262
sacce:751	K01899
sacce:2848	K01895
sacce:1228	K00382
sacce:4836	K11262

### 00650	Butanoate metabolism
sacce:6248	K01653
sacce:5248	K00626
sacce:4032	K00004
sacce:4613	K01580
sacce:6042	K01641
sacce:3138	K00004
sacce:6582	K00135
sacce:1632	K01652
sacce:493	K13524

### 00660	C5-Branched dibasic acid metabolism
sacce:6248	K01653
sacce:1632	K01652
sacce:5849	K00052

### 00562	Inositol phosphate metabolism
sacce:541	K20279
sacce:856	K20279
sacce:4889	K01106
sacce:2657	K01092
sacce:5032	K20279
sacce:4747	K13711
sacce:1599	K01092
sacce:2188	K00888
sacce:4894	K00889
sacce:5328	K01803
sacce:5335	K19786
sacce:6694	K05857
sacce:3424	K00921
sacce:4805	K00915
sacce:930	K01858
sacce:349	K00914
sacce:1242	K19801
sacce:5789	K00999

### 00190	Oxidative phosphorylation
sacce:4792	K01549
sacce:909	K02272
sacce:6005	K02149
sacce:2883	K02265
sacce:1444	K02144
sacce:5745	K00237
sacce:5290	K00412
sacce:2713	K02148
sacce:784	K03661
sacce:1910	K02127
sacce:2244	K00415
sacce:5556	K02133
sacce:6224	K00411
sacce:5768	K00413
sacce:6162	K00416
sacce:1806	K01535
sacce:5273	K02145
sacce:630	K01535
sacce:2031	K00235
sacce:4740	K02259
sacce:3832	K02150
sacce:3254	K02139
sacce:4480	K02154
sacce:4863	K02147
sacce:4134	K02260
sacce:6095	K00237
sacce:4100	K00420
sacce:1438	K02136
sacce:5827	K00234
sacce:2199	K02152
sacce:1574	K02151
sacce:4551	K02138
sacce:2354	K00412
sacce:5112	K02146
sacce:1267	K02257
sacce:6533	K02135
sacce:5302	K02142
sacce:4940	K02155
sacce:5210	K02263
sacce:57	K02264
sacce:2531	K02152
sacce:1891	K00234
sacce:6471	K02125
sacce:2080	K02261
sacce:3921	K02143
sacce:872	K02256
sacce:5747	K00414
sacce:4568	K00412
sacce:5963	K00417
sacce:3321	K02258
sacce:5211	K03955
sacce:6371	K02266
sacce:2449	K01507
sacce:1742	K02126
sacce:943	K02262
sacce:1425	K02128
sacce:3712	K00419
sacce:5220	K00418
sacce:5522	K00236
sacce:3267	K02137
sacce:5518	K02141
sacce:1611	K01507
sacce:437	K02140
sacce:5577	K02155
sacce:4021	K02269
sacce:5483	K00236
sacce:2414	K02154
sacce:2132	K00412
sacce:6281	K02263
sacce:3359	K02269
sacce:2860	K02134
sacce:1384	K02132
sacce:1392	K02267

### 00195	Photosynthesis

### 00196	Photosynthesis - antenna proteins

### 00710	Carbon fixation in photosynthetic organisms
sacce:1917	K00134
sacce:3940	K00814
sacce:4569	K01783
sacce:1896	K14454
sacce:6253	K01624
sacce:5661	K00615
sacce:3015	K00026
sacce:1430	K01610
sacce:4142	K01807
sacce:1107	K00615
sacce:719	K00814
sacce:783	K00026
sacce:1051	K14455
sacce:5328	K01803
sacce:2947	K00134
sacce:3571	K03841
sacce:2697	K00927
sacce:5282	K00134
sacce:1919	K00026

### 00720	Carbon fixation pathways in prokaryotes
sacce:5636	K00297
sacce:5065	K01679
sacce:4425	K00031
sacce:698	K00031
sacce:2848	K01895
sacce:3608	K01895
sacce:4042	K01958
sacce:4482	K01681
sacce:3376	K00031
sacce:5248	K00626
sacce:467	K00297
sacce:356	K01958

### 00680	Methane metabolism
sacce:4454	K01070
sacce:1346	K01689
sacce:2732	K01834
sacce:4533	K00850
sacce:4399	K01689
sacce:3608	K01895
sacce:1182	K00121
sacce:3554	K00058
sacce:263	K00831
sacce:2848	K01895
sacce:2870	K01689
sacce:3571	K03841
sacce:495	K00600
sacce:66	K00850
sacce:1157	K00600
sacce:757	K15634
sacce:218	K00863
sacce:456	K00122
sacce:1582	K15634
sacce:5540	K01834
sacce:4788	K00830
sacce:2068	K01834
sacce:4797	K00863
sacce:3046	K01689
sacce:1165	K00058
sacce:6253	K01624
sacce:1890	K01079

### 00910	Nitrogen metabolism
sacce:5939	K01915
sacce:5179	K00262
sacce:469	K15371
sacce:1598	K01673
sacce:887	K00459
sacce:5184	K00264
sacce:6055	K00262

### 00920	Sulfur metabolism
sacce:5093	K08738
sacce:508	K01011
sacce:2387	K01739
sacce:4468	K00390
sacce:2323	K00380
sacce:2843	K01082
sacce:4310	K00958
sacce:4955	K00860
sacce:3473	K17069
sacce:3236	K00381
sacce:2769	K01738
sacce:6470	K08738
sacce:6273	K01739
sacce:1760	K01739

### 00061	Fatty acid biosynthesis
sacce:5376	K00645
sacce:1277	K00668
sacce:1566	K01897
sacce:164	K00059
sacce:6536	K01897
sacce:4836	K11262
sacce:5433	K00667
sacce:3372	K01897
sacce:153	K11262
sacce:186	K09458
sacce:2534	K01897

### 00062	Fatty acid elongation
sacce:6090	K10703
sacce:5132	K10246
sacce:3489	K10245
sacce:666	K10258
sacce:1972	K07512
sacce:1150	K10251
sacce:3227	K01068
sacce:2950	K10245

### 00071	Fatty acid degradation
sacce:5430	K13954
sacce:345	K00128
sacce:4619	K13953
sacce:1270	K13953
sacce:661	K00128
sacce:2867	K00128
sacce:6536	K01897
sacce:2534	K01897
sacce:6165	K00232
sacce:1182	K00121
sacce:3372	K01897
sacce:2297	K00128
sacce:4958	K13953
sacce:4860	K07513
sacce:352	K00493
sacce:3040	K13239
sacce:4947	K13953
sacce:1566	K01897
sacce:5248	K00626

### 00072	Synthesis and degradation of ketone bodies
sacce:6042	K01641
sacce:5248	K00626

### 00073	Cutin, suberine and wax biosynthesis

### 00100	Steroid biosynthesis
sacce:1235	K09829
sacce:2575	K00559
sacce:565	K07750
sacce:609	K00222
sacce:6280	K09827
sacce:1276	K00637
sacce:5358	K07748
sacce:6340	K00223
sacce:6628	K01852
sacce:5940	K09831
sacce:6018	K01052
sacce:2577	K14674
sacce:5755	K00637
sacce:4084	K00227
sacce:896	K00801
sacce:5550	K05917
sacce:3716	K00511

### 00120	Primary bile acid biosynthesis

### 00121	Secondary bile acid biosynthesis

### 00140	Steroid hormone biosynthesis
sacce:1150	K10251
sacce:950	K12345

### 00561	Glycerolipid metabolism
sacce:1549	K17900
sacce:6583	K13507
sacce:2017	K14675
sacce:6008	K15728
sacce:5337	K18097
sacce:3181	K14457
sacce:218	K00863
sacce:2297	K00128
sacce:1103	K00002
sacce:2577	K14674
sacce:3336	K15918
sacce:3136	K13519
sacce:4797	K00863
sacce:1541	K13509
sacce:1548	K06117
sacce:473	K18693
sacce:6210	K13507
sacce:2273	K01054
sacce:3226	K00679
sacce:2867	K00128
sacce:661	K00128
sacce:208	K06116
sacce:345	K00128
sacce:3024	K00864
sacce:3839	K00002
sacce:1244	K01046

### 00564	Glycerophospholipid metabolism
sacce:3335	K13333
sacce:4761	K18696
sacce:5503	K01613
sacce:2682	K13333
sacce:5789	K00999
sacce:6118	K00550
sacce:6034	K00006
sacce:3871	K13511
sacce:5573	K14676
sacce:241	K13333
sacce:2864	K00994
sacce:3932	K00866
sacce:181	K00967
sacce:5844	K00111
sacce:6008	K15728
sacce:3127	K00894
sacce:6583	K13507
sacce:2492	K00006
sacce:2577	K14674
sacce:5882	K01094
sacce:5861	K00968
sacce:5602	K08744
sacce:3429	K18694
sacce:5231	K00995
sacce:4111	K16369
sacce:2637	K01613
sacce:4438	K00981
sacce:1541	K13509
sacce:2415	K17103
sacce:2494	K13535
sacce:3136	K13519
sacce:1066	K01115
sacce:5992	K16368
sacce:2189	K06123
sacce:6210	K13507
sacce:473	K18693
sacce:6488	K00993

### 00565	Ether lipid metabolism
sacce:2864	K00994
sacce:2308	K16794
sacce:1066	K01115
sacce:2189	K06123
sacce:6488	K00993
sacce:3136	K13519
sacce:2577	K14674

### 00600	Sphingolipid metabolism
sacce:1380	K04718
sacce:5866	K04713
sacce:6138	K05848
sacce:6622	K01634
sacce:3728	K04709
sacce:5461	K04718
sacce:1480	K04716
sacce:4327	K04711
sacce:6344	K04717
sacce:6387	K12351
sacce:101	K00654
sacce:3576	K04709
sacce:394	K04708
sacce:2092	K00654

### 00590	Arachidonic acid metabolism
sacce:2577	K14674
sacce:1458	K01254
sacce:5616	K00432
sacce:5968	K00432
sacce:4959	K00432

### 00591	Linoleic acid metabolism
sacce:2577	K14674

### 00592	alpha-Linolenic acid metabolism
sacce:6165	K00232
sacce:2577	K14674
sacce:4860	K07513

### 01040	Biosynthesis of unsaturated fatty acids
sacce:666	K10258
sacce:4860	K07513
sacce:3227	K01068
sacce:2950	K10245
sacce:1150	K10251
sacce:164	K00059
sacce:5132	K10246
sacce:6090	K10703
sacce:1873	K00507
sacce:6165	K00232
sacce:3489	K10245

### 00230	Purine metabolism
sacce:3962	K02328
sacce:3667	K02327
sacce:5064	K01835
sacce:5104	K00088
sacce:4263	K03506
sacce:5574	K00759
sacce:6596	K00088
sacce:4837	K03005
sacce:3902	K02320
sacce:1442	K01466
sacce:49	K01522
sacce:1203	K00764
sacce:5237	K03000
sacce:174	K03023
sacce:4310	K00958
sacce:4817	K00088
sacce:4581	K02324
sacce:1912	K19836
sacce:4955	K00860
sacce:3323	K02326
sacce:5229	K10808
sacce:1915	K00948
sacce:1385	K01756
sacce:4952	K03019
sacce:2073	K00873
sacce:2506	K03003
sacce:1360	K03015
sacce:829	K03008
sacce:2591	K10808
sacce:2668	K00948
sacce:3379	K03017
sacce:5557	K01923
sacce:5118	K01951
sacce:5347	K03009
sacce:5856	K00942
sacce:359	K03001
sacce:5398	K02325
sacce:3485	K03027
sacce:4775	K14642
sacce:2742	K01488
sacce:276	K03004
sacce:2960	K03002
sacce:4781	K00602
sacce:6438	K03012
sacce:2095	K00856
sacce:2159	K01519
sacce:980	K01490
sacce:2603	K03022
sacce:5864	K00601
sacce:6219	K01483
sacce:6397	K00948
sacce:774	K03006
sacce:2686	K03010
sacce:1154	K03007
sacce:5435	K01514
sacce:5879	K03024
sacce:9	K00988
sacce:6590	K02999
sacce:5079	K03504
sacce:3896	K01835
sacce:5400	K03018
sacce:3957	K01768
sacce:2832	K00948
sacce:1104	K02685
sacce:1159	K00602
sacce:1073	K00759
sacce:1640	K03020
sacce:5934	K01120
sacce:5004	K01477
sacce:5462	K11808
sacce:5038	K18532
sacce:724	K00948
sacce:5707	K01515
sacce:76	K03506
sacce:5611	K00940
sacce:268	K02684
sacce:3281	K01120
sacce:976	K03009
sacce:6383	K03016
sacce:4996	K01487
sacce:4373	K11788
sacce:4899	K03011
sacce:2130	K00939
sacce:2721	K18550
sacce:5515	K00988
sacce:1055	K03026
sacce:1878	K00873
sacce:5106	K10807
sacce:4654	K14721
sacce:2699	K01939
sacce:2338	K01952
sacce:4164	K03025
sacce:72	K03014
sacce:1795	K03013
sacce:4050	K02321
sacce:2162	K10807
sacce:5911	K03783
sacce:4171	K00939
sacce:6188	K03021
sacce:5053	K01835

### 00240	Pyrimidine metabolism
sacce:3902	K02320
sacce:4837	K03005
sacce:5237	K03000
sacce:434	K00761
sacce:3617	K01937
sacce:3962	K02328
sacce:3667	K02327
sacce:4263	K03506
sacce:4952	K03019
sacce:4381	K00762
sacce:2506	K03003
sacce:4581	K02324
sacce:174	K03023
sacce:4808	K01937
sacce:5852	K01955
sacce:3323	K02326
sacce:5229	K10808
sacce:5347	K03009
sacce:276	K03004
sacce:2960	K03002
sacce:3485	K03027
sacce:4775	K14642
sacce:5398	K02325
sacce:359	K03001
sacce:3853	K01489
sacce:2591	K10808
sacce:1360	K03015
sacce:829	K03008
sacce:3379	K03017
sacce:774	K03006
sacce:2686	K03010
sacce:1841	K00226
sacce:350	K01485
sacce:3566	K13800
sacce:1154	K03007
sacce:5809	K01591
sacce:6438	K03012
sacce:2603	K03022
sacce:1640	K03020
sacce:1104	K02685
sacce:6468	K00876
sacce:5879	K03024
sacce:2268	K00762
sacce:4312	K11541
sacce:5400	K03018
sacce:5079	K03504
sacce:6590	K02999
sacce:268	K02684
sacce:5611	K00940
sacce:76	K03506
sacce:976	K03009
sacce:6383	K03016
sacce:1102	K00943
sacce:38	K01520
sacce:1922	K16066
sacce:5236	K00560
sacce:5877	K01465
sacce:3648	K01493
sacce:4654	K14721
sacce:1795	K03013
sacce:72	K03014
sacce:4050	K02321
sacce:4164	K03025
sacce:4899	K03011
sacce:1583	K01240
sacce:5106	K10807
sacce:1055	K03026
sacce:2162	K10807
sacce:4244	K01956
sacce:6188	K03021
sacce:5911	K03783

### 00250	Alanine, aspartate and glutamate metabolism
sacce:4244	K01956
sacce:493	K13524
sacce:469	K15371
sacce:2989	K00294
sacce:546	K00820
sacce:5939	K01915
sacce:5179	K00262
sacce:2699	K01939
sacce:1051	K14455
sacce:4238	K01953
sacce:6582	K00135
sacce:4312	K11541
sacce:3396	K01424
sacce:719	K00814
sacce:4788	K00830
sacce:2808	K01953
sacce:1905	K01755
sacce:5852	K01955
sacce:6055	K00262
sacce:3940	K00814
sacce:1385	K01756
sacce:4347	K01940
sacce:4613	K01580
sacce:6424	K01424
sacce:5184	K00264
sacce:1896	K14454
sacce:1203	K00764

### 00260	Glycine, serine and threonine metabolism
sacce:757	K15634
sacce:1157	K00600
sacce:807	K02437
sacce:1929	K01620
sacce:4926	K20498
sacce:4788	K00830
sacce:5540	K01834
sacce:1582	K15634
sacce:103	K00643
sacce:4054	K01694
sacce:2415	K17103
sacce:6511	K00872
sacce:2068	K01834
sacce:3336	K15918
sacce:1165	K00058
sacce:1890	K01079
sacce:5323	K00605
sacce:1870	K00382
sacce:727	K17989
sacce:4428	K00003
sacce:2732	K01834
sacce:2082	K01697
sacce:2954	K01733
sacce:3554	K00058
sacce:1922	K16066
sacce:263	K00831
sacce:5959	K01754
sacce:70	K00928
sacce:1228	K00382
sacce:3935	K00281
sacce:495	K00600
sacce:5568	K00133
sacce:4501	K01758

### 00270	Cysteine and methionine metabolism
sacce:3311	K00826
sacce:4353	K00826
sacce:4766	K08967
sacce:3015	K00026
sacce:2844	K00549
sacce:783	K00026
sacce:6326	K01611
sacce:2915	K01920
sacce:615	K00838
sacce:6584	K08963
sacce:3473	K17069
sacce:5291	K01760
sacce:633	K08964
sacce:1115	K00772
sacce:2542	K01760
sacce:2387	K01739
sacce:3744	K09880
sacce:1896	K14454
sacce:508	K01011
sacce:1760	K01739
sacce:727	K17989
sacce:2411	K01251
sacce:5378	K08968
sacce:1006	K00547
sacce:4872	K00802
sacce:6273	K01739
sacce:2638	K00797
sacce:4439	K11204
sacce:2082	K01697
sacce:4428	K00003
sacce:1919	K00026
sacce:3775	K00547
sacce:723	K00641
sacce:2769	K01738
sacce:1051	K14455
sacce:70	K00928
sacce:6610	K00789
sacce:4501	K01758
sacce:1094	K00789
sacce:5568	K00133

### 00280	Valine, leucine and isoleucine degradation
sacce:345	K00128
sacce:661	K00128
sacce:493	K13524
sacce:1870	K00382
sacce:2867	K00128
sacce:4290	K05605
sacce:6042	K01641
sacce:1228	K00382
sacce:2297	K00128
sacce:4353	K00826
sacce:3311	K00826
sacce:4860	K07513
sacce:5248	K00626

### 00290	Valine, leucine and isoleucine biosynthesis
sacce:3022	K00053
sacce:2139	K01702
sacce:6248	K01653
sacce:5155	K01649
sacce:4353	K00826
sacce:3311	K00826
sacce:5849	K00052
sacce:3747	K01687
sacce:5959	K01754
sacce:389	K01649
sacce:727	K17989
sacce:1632	K01652

### 00300	Lysine biosynthesis
sacce:5568	K00133
sacce:70	K00928
sacce:4428	K00003
sacce:6053	K01705
sacce:23	K17450
sacce:3574	K00290
sacce:2367	K05824
sacce:567	K00143
sacce:4846	K01655
sacce:3237	K01655
sacce:3145	K00293
sacce:615	K00838

### 00310	Lysine degradation
sacce:2867	K00128
sacce:345	K00128
sacce:344	K18804
sacce:661	K00128
sacce:3574	K00290
sacce:1167	K00658
sacce:6582	K00135
sacce:3412	K11422
sacce:3145	K00293
sacce:5874	K11427
sacce:2297	K00128
sacce:4567	K11423
sacce:5248	K00626
sacce:4477	K00164

### 00330	Arginine and proline metabolism
sacce:1896	K14454
sacce:4628	K01426
sacce:400	K00931
